date,open,high,low,close,volume,turn
2013-7-26,2226.42,2238.41,2209.81,2224.01,48941096,45636071424
2013-7-29,2205.08,2205.08,2169.02,2175.97,54600924,49624612864
2013-7-30,2184.01,2221.59,2162.98,2189.38,55193624,50907226112
2013-7-31,2211.75,2235.37,2187.21,2193.02,48327056,46723493888
2013-8-1,2206,2245.56,2200.62,2245.36,62603996,58944765952
2013-8-2,2263.5,2274.71,2244.25,2247.26,60890892,58460000256
2013-8-5,2249.98,2278.33,2243.22,2278.33,55342152,53623070720
2013-8-6,2270.66,2302.48,2256.72,2293.63,73746896,68993572864
2013-8-7,2292.37,2313.87,2276.86,2280.62,73048696,69560483840
2013-8-8,2277.25,2297.62,2267.07,2276.78,53098432,52710277120
2013-8-9,2288.51,2301.59,2258.33,2286.01,64600016,62663979008
2013-8-12,2296.22,2352.88,2293.17,2352.79,97863216,94038908928
2013-8-13,2352.87,2360.83,2340.73,2359.07,78393632,71178518528
2013-8-14,2362.62,2386.6,2340.83,2349.08,75942128,71338221568
2013-8-15,2348.84,2362.09,2319.78,2321.58,61951852,59411202048
2013-8-16,2314.26,2423.08,2295.02,2304.13,120369560,1.04E+11
2013-8-19,2286.2,2340.18,2284.08,2331.42,72483224,67064926208
2013-8-20,2325.86,2353.4,2303.66,2312.47,73086344,67589705728
2013-8-21,2320.58,2321.63,2291.05,2308.59,55007384,50886496256
2013-8-22,2302.66,2329.13,2297.02,2303.92,55338104,51686309888
2013-8-23,2314.87,2321.04,2251.91,2286.92,68967136,65459847168
2013-8-26,2294.76,2336.37,2288.5,2335.62,70371040,66541010944
2013-8-27,2332.8,2345.11,2322.46,2340.87,65990332,62575378432
2013-8-28,2326.1,2345.36,2307.04,2328.06,89256176,80965566464
2013-8-29,2338.56,2342.32,2308.14,2318.31,66085416,59719880704
2013-8-30,2315.9,2334.4,2303.61,2313.9,87654512,76695994368
2013-9-2,2319.96,2329.87,2297.45,2320.34,79510248,73575866368
2013-9-3,2326.23,2354.86,2321.3,2354.5,80554008,72663982080
2013-9-4,2352.54,2360.65,2345.43,2350.7,78725760,68509011968
2013-9-5,2350.92,2351.22,2336.75,2341.74,62951384,59606065152
2013-9-6,2336.77,2361.17,2335.92,2357.78,73340112,63916892160
2013-9-9,2374.26,2449.25,2372.68,2440.61,149889632,1.27E+11
2013-9-10,2446.45,2475.2,2435.83,2474.88,154856000,1.31E+11
2013-9-11,2483.79,2504.47,2471.62,2482.88,166914976,1.43E+11
2013-9-12,2480.47,2527.37,2469.72,2507.46,145173168,1.26E+11
2013-9-13,2502.54,2515.78,2481.45,2488.89,110775048,98275008512
2013-9-16,2501.08,2503.68,2467.12,2478.38,105383280,97043841024
2013-9-17,2480.81,2481.71,2426.46,2427.32,99459984,93115105280
2013-9-18,2426.04,2439.62,2407.24,2432.51,71040760,69341323264
2013-9-23,2441.52,2473.15,2439.99,2472.29,80128352,80920690688
2013-9-24,2470.72,2470.75,2420.09,2443.88,97853016,96769835008
2013-9-25,2440.84,2455.04,2423.28,2429.03,90518416,89119219712
2013-9-26,2422.62,2422.62,2382.54,2384.43,86236768,84183924736
2013-9-27,2382.22,2402.2,2379.86,2394.97,65971508,66383990784
2013-9-30,2406.21,2415.07,2397.22,2409.04,59513992,60990140416
2013-10-8,2406.41,2446.7,2392.57,2441.81,84785504,84229906432
2013-10-9,2432.93,2453.75,2424.77,2453.58,76277648,76128337920
2013-10-10,2455.63,2455.98,2422.02,2429.32,90329704,89468018688
2013-10-11,2442.36,2471.16,2439.62,2468.51,93388264,91811545088
2013-10-14,2472.27,2483.12,2462.55,2472.54,100081304,99109158912
2013-10-15,2475.32,2479.12,2449.41,2467.52,89173496,86100819968
2013-10-16,2459.08,2459.08,2409.72,2421.37,88979832,83150848000
2013-10-17,2432.64,2440.91,2407.78,2413.33,71222472,67722891264
2013-10-18,2415.12,2435.71,2410.6,2426.05,60291632,59138752512
2013-10-21,2431.91,2472.79,2423.56,2471.32,84909792,82223144960
2013-10-22,2470.26,2470.26,2439.86,2445.88,90703032,83412049920
2013-10-23,2451.56,2474.37,2412.48,2418.49,91545352,83286777856
2013-10-24,2412.24,2422.93,2395.47,2400.51,64560820,60427235328
2013-10-28,2372.57,2377.25,2351.86,2365.95,62876152,56602099712
2013-10-29,2369.22,2408.62,2327.89,2372.05,106737832,91741560832
2013-10-30,2371.85,2407.85,2365.51,2407.47,92178128,75735064576
2013-10-31,2398.39,2398.39,2370.23,2373.72,82736960,70393880576
2013-11-1,2373.96,2395.01,2365.14,2384.96,63055760,57820024832
2013-11-4,2397.21,2404.89,2376.36,2380.45,51798460,48959463424
2013-11-5,2366.87,2385.68,2343.8,2383.77,62084488,56935550976
2013-11-6,2371.32,2383.54,2352.79,2353.57,63776664,59536871424
2013-11-7,2351.87,2356.66,2328.25,2340.55,54821748,50942570496
2013-11-8,2329.08,2342.66,2306.04,2307.95,53788508,48564998144
2013-11-11,2305.93,2325.23,2295,2315.88,45739456,42566549504
2013-11-12,2319.36,2342.53,2316.6,2340,52687544,49854763008
2013-11-13,2325.36,2325.56,2287.55,2288.12,59848832,53183049728
2013-11-14,2291.27,2305.7,2279.01,2304.5,57310356,51945078784
2013-11-15,2306.55,2377.21,2306.55,2350.73,86391768,83147857920
2013-11-18,2367.87,2429.57,2361.04,2428.89,110034632,1.09E+11
2013-11-19,2427.92,2427.92,2405.08,2412.15,78648296,79884935168
2013-11-20,2428.77,2435.42,2406.41,2424.85,72291800,67741429760
2013-11-21,2412.45,2415.37,2382.87,2409.99,87706680,82220523520
2013-11-22,2415.29,2419,2393.58,2397.96,75000672,70052208640
2013-11-25,2385.78,2418.85,2380.68,2388.62,66144736,63811264512
2013-11-26,2387.83,2399.02,2380.4,2387.41,59185864,53334204416
2013-11-27,2386.36,2422.81,2383.78,2414.48,75294088,70744776704
2013-11-28,2419.14,2460.56,2417.24,2439.53,90660408,86852444160
2013-11-29,2442.67,2446.38,2432.38,2438.93,61803744,61907374080
2013-12-2,2423.97,2464.86,2397.01,2418.79,119655120,1.13E+11
2013-12-3,2410.68,2448.33,2406.65,2442.78,74455752,72045232128
2013-12-4,2439.82,2486.63,2434.68,2475.13,102650232,94783930368
2013-12-5,2476.45,2481.75,2460.58,2468.2,77708928,72999927808
2013-12-6,2463.04,2470.81,2445.62,2452.29,66114088,64843206656
2013-12-9,2460.03,2468.95,2445.93,2450.87,57164884,57634537472
